food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,University District Service League,Magnuson Park Community Food Pantry,Open,General Public,"7101 62nd Ave NE, Seattle, WA 98115",47.6805765,-122.262898,(206)-523-7060,https://www.udistrictfoodbank.org/services/magnuson-park-community-food-pantry/,Wednesday,8/5/2025,1,False,False,True,False,False,Seattle
Food Bank,Urban Fresh Food Collective of South Park,Duwamish Waterway Park,Open,General Public,"7900 10th Ave SW, Seattle, WA 98106",47.5317619,-122.3478091,,https://cultivatesouthpark.org/mercadito,Saturday,8/5/2025,1,False,False,True,False,True,Seattle
Meal,Urban Fresh Food Collective of South Park,South Park Community Center,Open,General Public,"8319 8th Ave S, Seattle, WA 98108",47.5284221,-122.3240431,(206)-809-9691,https://www.urbanfreshfoodcollective.org/,"Monday, Wednesday, Thursday",8/5/2025,3,False,False,True,False,False,Seattle
Food Bank,Vashon Maury Community Food Bank,Vashon Maury Community Food Bank,Open,General Public,"10030 SW 210th St, Vashon, WA 98070",47.4185981,-122.4664519,(206)-463-6332,https://www.vashonfoodbank.org/,"Wednesday, Thursday, Friday",8/12/2025,3,False,False,True,False,False,Vashon
Meal,Vashon Maury Community Food Bank,Vashon Maury Community Food Bank,Open,Youth and Young Adults,"17130 Vashon Hwy SW, Vashon, WA 98070",47.4007316,-122.4688031,(206)-463-6332,https://www.vashonfoodbank.org/,"Monday, Tuesday, Wednesday, Thursday, Friday",2/1/2025,5,True,False,False,False,False,Vashon
Food Bank,West Seattle Food Bank,West Seattle Food Bank,Open,General Public,"3419 SW Morgan St, Seattle, WA 98126",47.5444292,-122.3758291,(206)-932-9023,https://www.westseattlefoodbank.org/,"Tuesday, Wednesday, Thursday, Friday",8/5/2025,4,False,False,True,False,False,Seattle
Food Bank,White Center Food Bank,White Center Food Bank,Open,General Public,"10016 16th Ave SW, Seattle, WA 98146",47.5131743,-122.3548275,(206)-762-2848,https://www.whitecenterfoodbank.org/service-hours,"Monday, Wednesday, Thursday, Friday",8/7/2025,4,False,False,True,False,False,Seattle
Food Bank,Woodinville Store House,Woodinville Store House,Open,General Public,"17110 140th Ave NE, Woodinville, WA 98072",47.7520872,-122.1518646,(425)-384-9274,https://www.woodinvillestorehouse.org,"Tuesday, Saturday",8/5/2025,2,False,False,True,False,True,Woodinville
Meal,YouthCare,Orion Center,Open,Youth and Young Adults,"1828 Yale Ave, Seattle, WA 98101",47.6182683,-122.3305192,(206)-622-5555,https://www.youthcare.org/homeless-youth-services/engagement-services/youthcares-orion-center/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/7/2025,7,True,False,False,False,True,Seattle
Meal,YouthCare,U-District Youth Center,Open,Youth and Young Adults,"4516 15th Ave NE, Seattle, WA 98105",47.661853,-122.311609,(206)-622-5555,https://www.youthcare.org/get-help/,"Sunday, Monday, Tuesday, Wednesday, Thursday",8/12/2025,5,True,False,False,False,True,Seattle
